tx_hash,log_index,token,token_address,from,to,amount
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,14,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,0x8366a39cc670b4001a1121b8f6a443a643e40951,8339.234576697307449677
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,16,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x8876789976decbfcbbbe364623c63652db8c0904,0.001537582082587447
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,19,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,0x8366a39cc670b4001a1121b8f6a443a643e40951,438.907082984068813141
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,22,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x8876789976decbfcbbbe364623c63652db8c0904,0.000083685938642921
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,23,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x8876789976decbfcbbbe364623c63652db8c0904,0x0000000000000000000000000000000000000000,0.001621268021230368
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,3,BOWYER,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,0x0e1061b46f4fddf9c74ee0febd722c1fed6c93b6,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,325229.856122621035253939
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,8,BOWYER,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,3252.298561226210352539
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,9,BOWYER,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0xc4ad95e1bc22cac4e163f3405b14729e6462f504,321977.5575613948249014
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,10,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,0xc4ad95e1bc22cac4e163f3405b14729e6462f504,0x1d4b86491ec211257cbedd77a4380a7494624eff,298.745127769760216554
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,13,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x9cc8c4f6118419a27f113723f1dea646685be55f,0x1d4b86491ec211257cbedd77a4380a7494624eff,0.080535312164624874
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,14,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x9cc8c4f6118419a27f113723f1dea646685be55f,248.944314970541188454
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,16,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x851d1b0342d2257a4172826b68221d2366c1c6b5,0x1d4b86491ec211257cbedd77a4380a7494624eff,0.016100704534907228
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,17,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x851d1b0342d2257a4172826b68221d2366c1c6b5,49.8008127992190281
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,19,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,0x1d4b86491ec211257cbedd77a4380a7494624eff,156.243919
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,20,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,0.081135599620927152
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,22,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x0000000000000000000000000000000000000000,0.01550041707860495
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,24,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,0x8366a39cc670b4001a1121b8f6a443a643e40951,29.84748
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,25,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,0.015499471008226618
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,27,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x0000000000000000000000000000000000000000,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.015499471008226618
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,29,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x1d4b86491ec211257cbedd77a4380a7494624eff,29.84748
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,30,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x1d4b86491ec211257cbedd77a4380a7494624eff,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,186.091399
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,33,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0x4cd00e387622c35bddb9b4c962c136462338bc31,186.091399
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,38,CUSTODIAN,0x481fafe6f55ebcbe6b512c39d1c9f8e4f6ad2a00,0xe677efcf5bc895da95e742c04de66f81a3b663b9,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,6125196.23518387836954583
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,42,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x3140e614cbebfed42a34e1c3cc52801f83c7e263,0x1d4b86491ec211257cbedd77a4380a7494624eff,0.033691129383837256
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,43,CUSTODIAN,0x481fafe6f55ebcbe6b512c39d1c9f8e4f6ad2a00,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0x3140e614cbebfed42a34e1c3cc52801f83c7e263,6125196.23518387836954583
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,45,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,64.879264
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,46,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,0.033691129383837256
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,50,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0x4cd00e387622c35bddb9b4c962c136462338bc31,64.879264
